Hlad Horni Hranice,Zizen Horni Hranice,Energie Horni Hranice,Hodnoceni,HP
80,80,50,2.0,100
80,79,50,2.0,100
80,78,50,2.0,100
80,77,50,2.0,100
80,76,50,2.0,100
80,75,50,2.0,100
80,74,50,2.0,100
80,73,50,2.0,100
80,72,50,2.0,100
80,71,50,4.0,100
80,70,50,4.0,100
80,69,50,4.0,100
80,68,50,4.0,100
80,67,50,4.0,100
80,66,50,4.0,100
80,65,50,4.0,100
80,64,50,4.0,100
80,63,50,4.0,100
80,62,50,4.0,100
80,61,50,4.0,100
80,60,50,4.0,100
80,59,50,4.0,100
80,58,50,4.0,100
80,57,50,4.0,100
80,56,50,4.0,100
80,55,50,4.0,100
80,54,50,4.0,100
80,53,50,4.0,100
80,52,50,4.0,100
80,51,50,4.0,100
80,50,50,4.0,99
80,49,50,4.0,100
80,48,50,4.0,100
80,47,50,4.0,99
80,46,50,4.0,99
80,45,50,4.0,1
80,44,50,4.0,1
80,43,50,4.0,2
80,42,50,0.0,0
80,41,50,0.0,0
80,40,50,0.0,0
80,39,50,0.0,0
80,38,50,0.0,0
80,37,50,0.0,0
80,36,50,0.0,0
80,35,50,0.0,0
80,34,50,0.0,0
80,33,50,0.0,0
80,32,50,0.0,0
80,31,50,0.0,0
80,30,50,0.0,0
80,29,50,0.0,0
80,28,50,0.0,0
80,27,50,0.0,0
80,26,50,0.0,0
80,25,50,0.0,0
80,24,50,0.0,0
80,23,50,0.0,0
80,22,50,0.0,0
80,21,50,0.0,0
80,20,50,0.0,0
79,80,50,2.0,100
79,79,50,2.0,100
79,78,50,2.0,100
79,77,50,2.0,100
79,76,50,2.0,100
79,75,50,2.0,100
79,74,50,2.0,100
79,73,50,2.0,100
79,72,50,2.0,100
79,71,50,4.0,100
79,70,50,4.0,100
79,69,50,4.0,100
79,68,50,4.0,100
79,67,50,4.0,100
79,66,50,4.0,100
79,65,50,4.0,100
79,64,50,4.0,100
79,63,50,4.0,100
79,62,50,4.0,100
79,61,50,4.0,100
79,60,50,4.0,100
79,59,50,4.0,100
79,58,50,4.0,100
79,57,50,4.0,100
79,56,50,4.0,100
79,55,50,4.0,100
79,54,50,4.0,100
79,53,50,4.0,100
79,52,50,4.0,100
79,51,50,4.0,100
79,50,50,4.0,99
79,49,50,4.0,99
79,48,50,4.0,99
79,47,50,4.0,1
79,46,50,4.0,2
79,45,50,4.0,2
79,44,50,0.0,0
79,43,50,0.0,0
79,42,50,0.0,0
79,41,50,0.0,0
79,40,50,0.0,0
79,39,50,4.0,100
79,38,50,4.0,99
79,37,50,4.0,99
79,36,50,0.0,0
79,35,50,0.0,0
79,34,50,0.0,0
79,33,50,0.0,0
79,32,50,0.0,0
79,31,50,0.0,0
79,30,50,0.0,0
79,29,50,0.0,0
79,28,50,0.0,0
79,27,50,0.0,0
79,26,50,0.0,0
79,25,50,0.0,0
79,24,50,0.0,0
79,23,50,0.0,0
79,22,50,0.0,0
79,21,50,0.0,0
79,20,50,0.0,0
78,80,50,2.0,100
78,79,50,2.0,100
78,78,50,2.0,100
78,77,50,2.0,100
78,76,50,2.0,100
78,75,50,2.0,100
78,74,50,2.0,100
78,73,50,2.0,100
78,72,50,2.0,100
78,71,50,4.0,100
78,70,50,4.0,100
78,69,50,4.0,100
78,68,50,4.0,100
78,67,50,4.0,100
78,66,50,4.0,100
78,65,50,4.0,100
78,64,50,4.0,100
78,63,50,4.0,100
78,62,50,4.0,100
78,61,50,4.0,100
78,60,50,4.0,100
78,59,50,4.0,100
78,58,50,4.0,100
78,57,50,4.0,100
78,56,50,4.0,100
78,55,50,4.0,100
78,54,50,4.0,100
78,53,50,4.0,100
78,52,50,4.0,100
78,51,50,4.0,100
78,50,50,4.0,2
78,49,50,4.0,2
78,48,50,4.0,2
78,47,50,4.0,2
78,46,50,4.0,2
78,45,50,0.0,0
78,44,50,0.0,0
78,43,50,4.0,99
78,42,50,4.0,99
78,41,50,4.0,100
78,40,50,4.0,99
78,39,50,4.0,100
78,38,50,0.0,0
78,37,50,0.0,0
78,36,50,0.0,0
78,35,50,0.0,0
78,34,50,0.0,0
78,33,50,0.0,0
78,32,50,0.0,0
78,31,50,0.0,0
78,30,50,0.0,0
78,29,50,0.0,0
78,28,50,0.0,0
78,27,50,0.0,0
78,26,50,0.0,0
78,25,50,0.0,0
78,24,50,0.0,0
78,23,50,0.0,0
78,22,50,0.0,0
78,21,50,0.0,0
78,20,50,0.0,0
77,80,50,2.0,100
77,79,50,2.0,100
77,78,50,2.0,100
77,77,50,4.0,100
77,76,50,4.0,100
77,75,50,4.0,100
77,74,50,4.0,100
77,73,50,4.0,100
77,72,50,4.0,100
77,71,50,4.0,100
77,70,50,4.0,100
77,69,50,4.0,100
77,68,50,4.0,100
77,67,50,4.0,100
77,66,50,4.0,100
77,65,50,4.0,100
77,64,50,4.0,100
77,63,50,4.0,100
77,62,50,4.0,100
77,61,50,4.0,100
77,60,50,4.0,100
77,59,50,4.0,100
77,58,50,4.0,100
77,57,50,4.0,100
77,56,50,4.0,100
77,55,50,4.0,100
77,54,50,4.0,100
77,53,50,4.0,100
77,52,50,4.0,100
77,51,50,4.0,100
77,50,50,4.0,100
77,49,50,4.0,3
77,48,50,4.0,2
77,47,50,4.0,99
77,46,50,4.0,99
77,45,50,4.0,100
77,44,50,4.0,100
77,43,50,4.0,99
77,42,50,4.0,99
77,41,50,4.0,99
77,40,50,0.0,0
77,39,50,0.0,0
77,38,50,0.0,0
77,37,50,0.0,0
77,36,50,0.0,0
77,35,50,0.0,0
77,34,50,0.0,0
77,33,50,0.0,0
77,32,50,0.0,0
77,31,50,0.0,0
77,30,50,0.0,0
77,29,50,0.0,0
77,28,50,0.0,0
77,27,50,4.0,99
77,26,50,0.0,0
77,25,50,0.0,0
77,24,50,4.0,99
77,23,50,0.0,0
77,22,50,0.0,0
77,21,50,4.0,100
77,20,50,4.0,100
76,80,50,2.0,100
76,79,50,2.0,100
76,78,50,2.0,100
76,77,50,4.0,100
76,76,50,4.0,100
76,75,50,4.0,100
76,74,50,4.0,100
76,73,50,4.0,100
76,72,50,4.0,100
76,71,50,4.0,100
76,70,50,4.0,100
76,69,50,4.0,100
76,68,50,4.0,100
76,67,50,4.0,100
76,66,50,4.0,100
76,65,50,4.0,100
76,64,50,4.0,100
76,63,50,4.0,100
76,62,50,4.0,100
76,61,50,4.0,100
76,60,50,4.0,100
76,59,50,4.0,100
76,58,50,4.0,100
76,57,50,4.0,100
76,56,50,4.0,100
76,55,50,4.0,100
76,54,50,4.0,100
76,53,50,4.0,100
76,52,50,4.0,100
76,51,50,4.0,99
76,50,50,4.0,100
76,49,50,4.0,100
76,48,50,4.0,100
76,47,50,4.0,99
76,46,50,4.0,99
76,45,50,4.0,99
76,44,50,4.0,99
76,43,50,0.0,0
76,42,50,0.0,0
76,41,50,0.0,0
76,40,50,0.0,0
76,39,50,0.0,0
76,38,50,0.0,0
76,37,50,0.0,0
76,36,50,4.0,100
76,35,50,4.0,99
76,34,50,4.0,99
76,33,50,0.0,0
76,32,50,0.0,0
76,31,50,0.0,0
76,30,50,0.0,0
76,29,50,0.0,0
76,28,50,0.0,0
76,27,50,0.0,0
76,26,50,0.0,0
76,25,50,0.0,0
76,24,50,0.0,0
76,23,50,0.0,0
76,22,50,0.0,0
76,21,50,0.0,0
76,20,50,0.0,0
75,80,50,2.0,100
75,79,50,2.0,100
75,78,50,2.0,100
75,77,50,4.0,100
75,76,50,4.0,100
75,75,50,4.0,100
75,74,50,4.0,100
75,73,50,4.0,100
75,72,50,4.0,100
75,71,50,4.0,100
75,70,50,4.0,100
75,69,50,4.0,100
75,68,50,4.0,100
75,67,50,4.0,100
75,66,50,4.0,100
75,65,50,4.0,100
75,64,50,4.0,100
75,63,50,4.0,100
75,62,50,4.0,100
75,61,50,4.0,100
75,60,50,4.0,100
75,59,50,4.0,100
75,58,50,4.0,100
75,57,50,4.0,100
75,56,50,4.0,100
75,55,50,4.0,100
75,54,50,4.0,100
75,53,50,4.0,100
75,52,50,4.0,100
75,51,50,4.0,100
75,50,50,4.0,99
75,49,50,4.0,100
75,48,50,4.0,100
75,47,50,4.0,99
75,46,50,4.0,99
75,45,50,4.0,1
75,44,50,4.0,1
75,43,50,4.0,2
75,42,50,0.0,0
75,41,50,0.0,0
75,40,50,0.0,0
75,39,50,0.0,0
75,38,50,0.0,0
75,37,50,0.0,0
75,36,50,0.0,0
75,35,50,0.0,0
75,34,50,0.0,0
75,33,50,0.0,0
75,32,50,0.0,0
75,31,50,0.0,0
75,30,50,0.0,0
75,29,50,0.0,0
75,28,50,0.0,0
75,27,50,0.0,0
75,26,50,0.0,0
75,25,50,0.0,0
75,24,50,0.0,0
75,23,50,0.0,0
75,22,50,0.0,0
75,21,50,0.0,0
75,20,50,0.0,0
74,80,50,2.0,100
74,79,50,2.0,100
74,78,50,2.0,100
74,77,50,4.0,100
74,76,50,4.0,100
74,75,50,4.0,100
74,74,50,4.0,100
74,73,50,4.0,100
74,72,50,4.0,100
74,71,50,4.0,100
74,70,50,4.0,100
74,69,50,4.0,100
74,68,50,4.0,100
74,67,50,4.0,100
74,66,50,4.0,100
74,65,50,4.0,100
74,64,50,4.0,100
74,63,50,4.0,100
74,62,50,4.0,100
74,61,50,4.0,100
74,60,50,4.0,100
74,59,50,4.0,100
74,58,50,4.0,100
74,57,50,4.0,100
74,56,50,4.0,100
74,55,50,4.0,100
74,54,50,4.0,100
74,53,50,4.0,100
74,52,50,4.0,100
74,51,50,4.0,100
74,50,50,4.0,100
74,49,50,4.0,99
74,48,50,4.0,100
74,47,50,4.0,99
74,46,50,4.0,99
74,45,50,4.0,99
74,44,50,4.0,4
74,43,50,4.0,4
74,42,50,4.0,1
74,41,50,4.0,2
74,40,50,4.0,2
74,39,50,0.0,0
74,38,50,0.0,0
74,37,50,0.0,0
74,36,50,0.0,0
74,35,50,0.0,0
74,34,50,0.0,0
74,33,50,0.0,0
74,32,50,0.0,0
74,31,50,0.0,0
74,30,50,0.0,0
74,29,50,0.0,0
74,28,50,0.0,0
74,27,50,0.0,0
74,26,50,0.0,0
74,25,50,0.0,0
74,24,50,0.0,0
74,23,50,0.0,0
74,22,50,0.0,0
74,21,50,0.0,0
74,20,50,0.0,0
73,80,50,2.0,100
73,79,50,2.0,100
73,78,50,2.0,100
73,77,50,4.0,100
73,76,50,4.0,100
73,75,50,4.0,100
73,74,50,4.0,100
73,73,50,4.0,100
73,72,50,4.0,100
73,71,50,4.0,100
73,70,50,4.0,100
73,69,50,4.0,100
73,68,50,4.0,100
73,67,50,4.0,100
73,66,50,4.0,100
73,65,50,4.0,100
73,64,50,4.0,100
73,63,50,4.0,100
73,62,50,4.0,100
73,61,50,4.0,100
73,60,50,4.0,100
73,59,50,4.0,100
73,58,50,4.0,100
73,57,50,4.0,100
